"Src","Eqid","Version","Datetime","Lat","Lon","Magnitude","Depth","NST","Region"
"213","ak","10839740","1","Wednesday, November  6, 2013 03:44:52 UTC",64.8753,-149.4518,1.5,13.7,12,"Central Alaska"
"214","ak","10839737","1","Wednesday, November  6, 2013 03:32:11 UTC",63.5398,-147.3267,1.7,0,15,"Central Alaska"
"215","uu","60043817","2","Wednesday, November  6, 2013 03:24:28 UTC",38.9633,-111.3967,1.1,2.2,10,"Utah"
"216","ci","11388082","4","Wednesday, November  6, 2013 03:15:39 UTC",33.788,-116.1773,1.3,2.2,38,"Southern California"
"217","ci","11388066","4","Wednesday, November  6, 2013 02:51:22 UTC",33.1332,-115.6407,1.3,1.6,24,"Southern California"
"218","ci","11388058","4","Wednesday, November  6, 2013 02:48:34 UTC",33.129,-115.6507,1.2,0,23,"Southern California"
"219","ak","10839728","1","Wednesday, November  6, 2013 02:31:30 UTC",64.9505,-150.6509,1.6,0,6,"Central Alaska"
"220","ak","10839719","1","Wednesday, November  6, 2013 02:25:17 UTC",64.1479,-147.2413,2,1.8,26,"Central Alaska"
"221","nc","72101856","1","Wednesday, November  6, 2013 02:22:51 UTC",38.8228,-122.8065,2.1,3.1,44,"Northern California"
"222","nc","72101851","1","Wednesday, November  6, 2013 02:06:47 UTC",38.8177,-122.819,2.6,2.7,58,"Northern California"
"223","ak","10839705","2","Wednesday, November  6, 2013 02:05:02 UTC",61.4275,-146.1545,2.4,8.4,47,"Southern Alaska"
"224","pr","13310001","0","Wednesday, November  6, 2013 02:01:49 UTC",18.0659,-67.0692,2.3,23,13,"Puerto Rico"
"225","uu","60043812","4","Wednesday, November  6, 2013 01:50:33 UTC",44.7562,-110.8325,1.2,6.2,14,"Yellowstone National Park, Wyoming"
"226","ci","11388042","4","Wednesday, November  6, 2013 01:07:32 UTC",34.246,-117.4783,1.1,14.4,19,"Southern California"
"227","nc","72101841","2","Wednesday, November  6, 2013 00:49:52 UTC",41.2123,-122.1115,1.8,6.3,25,"Northern California"
"228","pr","13310000","0","Wednesday, November  6, 2013 00:40:31 UTC",18.2905,-67.6276,3.2,114,17,"Mona Passage, Puerto Rico"
"229","ci","11388026","2","Wednesday, November  6, 2013 00:22:32 UTC",35.0487,-117.6733,1.1,0,11,"Southern California"
"230","ci","11388018","4","Wednesday, November  6, 2013 00:15:45 UTC",36.0963,-117.8758,1.7,1.9,28,"Central California"
"231","nc","72101836","1","Wednesday, November  6, 2013 00:14:41 UTC",37.387,-121.743,2.1,6.5,38,"San Francisco Bay area, California"
"232","ak","10839662","2","Tuesday, November  5, 2013 23:57:48 UTC",61.6401,-150.2222,1.8,46.5,33,"Southern Alaska"
"233","nc","72101821","0","Tuesday, November  5, 2013 23:55:33 UTC",38.7583,-122.7125,1.4,1.2,13,"Northern California"
"234","nc","72101816","1","Tuesday, November  5, 2013 23:54:58 UTC",38.7573,-122.7187,1.9,1.9,29,"Northern California"
"235","ak","10839651","2","Tuesday, November  5, 2013 23:51:12 UTC",63.3435,-145.4463,2.4,6.3,38,"Central Alaska"
"236","ci","11388010","4","Tuesday, November  5, 2013 23:39:30 UTC",32.5943,-116.9872,1.1,0,15,"San Diego County urban area, California"
"237","nc","72101811","0","Tuesday, November  5, 2013 23:38:58 UTC",38.8423,-122.84,1,2.3,20,"Northern California"
"238","ak","10839637","2","Tuesday, November  5, 2013 23:34:25 UTC",60.0924,-139.7496,2.4,10.4,33,"Southern Yukon Territory, Canada"
"239","nc","72101801","0","Tuesday, November  5, 2013 23:29:54 UTC",38.8413,-122.838,1.5,2.1,22,"Northern California"
"240","ak","10839622","2","Tuesday, November  5, 2013 23:16:20 UTC",53.931,-166.3547,1.3,6.8,11,"Fox Islands, Aleutian Islands, Alaska"
"241","nc","72101786","1","Tuesday, November  5, 2013 23:03:17 UTC",38.7872,-122.7363,2.1,1.7,38,"Northern California"
"242","ak","10839605","2","Tuesday, November  5, 2013 22:44:34 UTC",60.3953,-150.65,1.6,55.9,19,"Kenai Peninsula, Alaska"
"243","nc","72101771","0","Tuesday, November  5, 2013 22:39:15 UTC",40.161,-121.0462,1.7,7.9,9,"Northern California"
"244","nc","72101766","0","Tuesday, November  5, 2013 22:38:16 UTC",39.3762,-122.9033,1.9,7.2,15,"Northern California"
"245","nc","72101761","0","Tuesday, November  5, 2013 22:34:29 UTC",36.564,-121.1655,1.6,6.8,14,"Central California"
"246","ci","11388002","4","Tuesday, November  5, 2013 22:30:38 UTC",33.8618,-117.5005,1.3,0,25,"Greater Los Angeles area, California"
"247","ci","11387994","2","Tuesday, November  5, 2013 22:26:23 UTC",34.0385,-117.3002,1.1,19.5,12,"Greater Los Angeles area, California"
"248","uw","60624007","4","Tuesday, November  5, 2013 22:06:02 UTC",44.6973,-117.4637,2.7,5.3,12,"Oregon"
"249","pr","13309013","0","Tuesday, November  5, 2013 21:58:48 UTC",17.9622,-65.3572,2.6,12,4,"Puerto Rico region"
"250","ci","11387986","4","Tuesday, November  5, 2013 21:57:54 UTC",35.0603,-118.3522,1.7,4.1,22,"Southern California"
"251","ci","11387978","4","Tuesday, November  5, 2013 21:51:00 UTC",33.9828,-116.965,1,18.6,26,"Southern California"
"252","ak","10839581","2","Tuesday, November  5, 2013 21:44:17 UTC",61.2391,-147.5324,1.5,0,8,"Southern Alaska"
"253","ak","10839578","2","Tuesday, November  5, 2013 21:40:47 UTC",61.6992,-149.8797,1.3,42,11,"Southern Alaska"
"254","ak","10839571","2","Tuesday, November  5, 2013 21:35:38 UTC",60.2286,-141.4167,1.6,0,8,"Southern Alaska"
"255","uu","60043777","2","Tuesday, November  5, 2013 21:23:41 UTC",39.702,-111.2505,1.5,1.7,5,"Utah"
"256","hv","60587426","2","Tuesday, November  5, 2013 21:22:02 UTC",20.1508,-155.815,2.6,25.6,19,"Hawaii region, Hawaii"
"257","ak","10839561","2","Tuesday, November  5, 2013 21:14:15 UTC",62.241,-145.7137,1.8,15,19,"Central Alaska"
"258","ak","10839565","2","Tuesday, November  5, 2013 21:08:39 UTC",51.5653,-175.1442,2.8,55.1,8,"Andreanof Islands, Aleutian Islands, Alaska"
"259","ci","11387970","5","Tuesday, November  5, 2013 21:07:22 UTC",34.0323,-117.246,1.1,16.6,41,"Greater Los Angeles area, California"
"260","ak","10839547","2","Tuesday, November  5, 2013 21:04:38 UTC",62.235,-145.729,2.7,15.5,40,"Central Alaska"
"261","ci","11387962","5","Tuesday, November  5, 2013 20:54:53 UTC",33.527,-115.864,1.6,3.4,43,"Southern California"
"262","ak","10840957","2","Tuesday, November  5, 2013 19:50:10 UTC",63.1127,-150.8412,1.5,130.8,15,"Central Alaska"
"263","pr","13309012","0","Tuesday, November  5, 2013 19:35:04 UTC",18.0034,-65.4055,2.3,17,3,"Puerto Rico region"
"264","ak","10840956","2","Tuesday, November  5, 2013 19:27:21 UTC",53.3752,-163.6514,2.4,27.4,12,"Unimak Island region, Alaska"
"265","hv","60587381","2","Tuesday, November  5, 2013 19:06:26 UTC",19.3342,-155.1467,2.1,3.8,61,"Island of Hawaii, Hawaii"
"266","ak","10840955","2","Tuesday, November  5, 2013 19:04:36 UTC",53.4202,-163.7143,2.5,58.2,9,"Unimak Island region, Alaska"
"267","ak","10839508","2","Tuesday, November  5, 2013 19:00:11 UTC",62.2649,-145.6937,1.5,14.7,14,"Central Alaska"
"268","uu","60043732","2","Tuesday, November  5, 2013 18:53:39 UTC",38.961,-111.4082,1,5.8,5,"Utah"
"269","ak","10839503","2","Tuesday, November  5, 2013 18:50:13 UTC",63.6247,-149.6807,1.6,119.7,22,"Central Alaska"
"270","ak","10839493","2","Tuesday, November  5, 2013 18:39:33 UTC",62.2644,-145.7344,1.4,11.6,14,"Central Alaska"
"271","ak","10838179","3","Tuesday, November  5, 2013 18:33:55 UTC",62.2003,-145.705,3.3,17.7,67,"Central Alaska"
"272","ak","10840950","2","Tuesday, November  5, 2013 18:31:37 UTC",60.1628,-152.9469,1.7,117.1,22,"Southern Alaska"
"273","ak","10840949","2","Tuesday, November  5, 2013 18:28:17 UTC",61.4653,-151.5377,1.9,69.3,18,"Southern Alaska"
"274","ak","10838132","2","Tuesday, November  5, 2013 18:25:38 UTC",60.4902,-141.4709,1.9,9.5,35,"Southern Alaska"
"275","ak","10838040","2","Tuesday, November  5, 2013 18:09:29 UTC",63.4952,-150.8591,1,10.8,15,"Central Alaska"
"276","ak","10840946","2","Tuesday, November  5, 2013 18:05:10 UTC",53.3216,-165.0711,2,29.7,12,"Fox Islands, Aleutian Islands, Alaska"
"277","pr","13309011","0","Tuesday, November  5, 2013 17:58:33 UTC",18.3631,-64.1429,2.9,69,8,"Virgin Islands region"
"278","nc","72101646","0","Tuesday, November  5, 2013 17:50:39 UTC",38.81,-122.81,1.3,2.2,16,"Northern California"
"279","nc","72101641","0","Tuesday, November  5, 2013 17:42:13 UTC",38.8002,-122.8092,1.4,3.1,18,"Northern California"
"280","ak","10838023","2","Tuesday, November  5, 2013 17:34:03 UTC",61.227,-147.5867,1.5,0,9,"Southern Alaska"
"281","ak","10838015","2","Tuesday, November  5, 2013 17:17:45 UTC",61.0347,-141.4073,1.5,8.5,19,"Southern Alaska"
"282","pr","13309014","0","Tuesday, November  5, 2013 17:13:15 UTC",18.5119,-64.0866,2.4,45,5,"Virgin Islands region"
"283","nc","72101606","0","Tuesday, November  5, 2013 16:35:59 UTC",35.7515,-121.225,1.3,14.8,8,"Central California"
"284","ak","10840942","2","Tuesday, November  5, 2013 16:28:29 UTC",62.5018,-151.6583,1.6,91.2,15,"Central Alaska"
"285","nc","72101601","0","Tuesday, November  5, 2013 16:25:06 UTC",37.4098,-118.6027,1.5,11.2,13,"Central California"
"286","nc","72101596","0","Tuesday, November  5, 2013 16:24:00 UTC",37.41,-118.603,1.6,11.2,11,"Central California"
"287","ak","10840941","2","Tuesday, November  5, 2013 16:23:05 UTC",58.733,-154.8124,2.3,127.9,25,"Alaska Peninsula"
"288","nc","72101591","0","Tuesday, November  5, 2013 16:21:36 UTC",36.5742,-121.1608,1.6,10.9,11,"Central California"
"289","ak","10837989","2","Tuesday, November  5, 2013 16:10:20 UTC",62.3334,-151.164,2.4,88.9,57,"Central Alaska"
"290","nc","72101586","0","Tuesday, November  5, 2013 16:09:00 UTC",36.5668,-121.171,1.6,0.1,14,"Central California"
"291","ci","11387930","4","Tuesday, November  5, 2013 15:57:58 UTC",33.0313,-116.422,1.3,5.2,32,"Southern California"
"292","ak","10837980","2","Tuesday, November  5, 2013 15:36:48 UTC",63.355,-151.1853,1.3,13,16,"Central Alaska"
"293","ak","10840938","2","Tuesday, November  5, 2013 15:35:35 UTC",62.5,-150.9669,1.5,87.4,19,"Central Alaska"
"294","ak","10837967","2","Tuesday, November  5, 2013 15:17:11 UTC",61.4468,-150.6141,1.5,42.9,28,"Southern Alaska"
"295","ak","10837965","2","Tuesday, November  5, 2013 15:14:38 UTC",67.5655,-149.9681,2.6,5.4,24,"northern Alaska"
"296","ci","11387906","5","Tuesday, November  5, 2013 15:05:12 UTC",34.3112,-116.9688,1.5,7.6,56,"Southern California"
"297","ak","10840935","2","Tuesday, November  5, 2013 15:01:14 UTC",65.9598,-150.1547,1.4,8.3,12,"northern Alaska"
"298","uw","60623767","3","Tuesday, November  5, 2013 14:52:46 UTC",48.0242,-124.6778,2.4,42.1,25,"Olympic Peninsula, Washington"
"299","pr","13309007","0","Tuesday, November  5, 2013 14:49:17 UTC",18.2101,-68.055,3.3,103,12,"Mona Passage, Dominican Republic"
"300","ak","10840934","2","Tuesday, November  5, 2013 14:42:30 UTC",62.2746,-152.0518,1.6,107,13,"Central Alaska"
"301","nc","72101571","0","Tuesday, November  5, 2013 14:37:16 UTC",38.8152,-122.8157,1.2,2.8,21,"Northern California"
"302","ak","10837949","2","Tuesday, November  5, 2013 14:29:16 UTC",69.1201,-144.2136,3,5.7,29,"northern Alaska"
"303","ak","10837947","3","Tuesday, November  5, 2013 14:27:00 UTC",67.5609,-149.977,2.9,7.1,31,"northern Alaska"
"304","pr","13309006","0","Tuesday, November  5, 2013 13:55:32 UTC",18.8022,-66.4134,2.8,47,4,"Puerto Rico region"
"305","ak","10837940","2","Tuesday, November  5, 2013 13:51:57 UTC",60.1085,-152.7121,2.2,98.7,38,"Southern Alaska"
"306","hv","60587281","1","Tuesday, November  5, 2013 13:45:57 UTC",19.0935,-155.4095,2.6,38.6,43,"Island of Hawaii, Hawaii"
"307","hv","60587256","1","Tuesday, November  5, 2013 13:37:43 UTC",19.0718,-155.47,2.7,41.9,38,"Island of Hawaii, Hawaii"
"308","hv","60587251","1","Tuesday, November  5, 2013 13:36:32 UTC",19.0572,-155.4622,2,40.3,35,"Island of Hawaii, Hawaii"
"309","ak","10837933","2","Tuesday, November  5, 2013 13:16:54 UTC",63.2798,-150.5663,1.8,128.3,31,"Central Alaska"
"310","ak","10837929","2","Tuesday, November  5, 2013 12:53:19 UTC",61.8617,-150.5922,1.5,46.8,26,"Southern Alaska"
"311","mb","29503","1","Tuesday, November  5, 2013 12:46:11 UTC",46.7223,-112.189,1.1,13.5,8,"western Montana"
"312","ak","10840928","2","Tuesday, November  5, 2013 12:28:18 UTC",61.7985,-151.9547,1.7,112.8,17,"Southern Alaska"
"313","pr","13309005","0","Tuesday, November  5, 2013 12:21:15 UTC",18.0732,-67.405,2.9,137,4,"Mona Passage, Puerto Rico"
"314","ak","10837923","2","Tuesday, November  5, 2013 11:52:56 UTC",63.9274,-148.8973,1.6,0,26,"Central Alaska"
"315","pr","13309010","0","Tuesday, November  5, 2013 11:50:04 UTC",18.0279,-68.4814,3.2,81,9,"Dominican Republic region"
"316","ci","11387882","4","Tuesday, November  5, 2013 11:48:03 UTC",34.043,-118.2512,1.2,3.2,23,"Greater Los Angeles area, California"
"317","ci","11387874","2","Tuesday, November  5, 2013 11:24:30 UTC",35.057,-118.3525,1.2,4.7,13,"Southern California"
"318","ak","10840926","2","Tuesday, November  5, 2013 11:12:44 UTC",56.8809,-154.6594,2.3,14.6,11,"Kodiak Island region, Alaska"
"319","ak","10837919","2","Tuesday, November  5, 2013 11:06:55 UTC",63.1084,-149.3101,1.2,12,19,"Central Alaska"
"320","ak","10840924","2","Tuesday, November  5, 2013 11:02:18 UTC",59.7993,-150.7978,1.5,55,9,"Kenai Peninsula, Alaska"
"321","nc","72101496","2","Tuesday, November  5, 2013 10:58:07 UTC",41.2102,-122.113,1.7,6.2,18,"Northern California"
"322","nc","72101491","0","Tuesday, November  5, 2013 10:50:53 UTC",36.5607,-121.1535,1.7,3.5,14,"Central California"
"323","mb","29502","1","Tuesday, November  5, 2013 10:49:36 UTC",44.8325,-111.471,1.1,9.5,8,"western Montana"
"324","nc","72101486","0","Tuesday, November  5, 2013 10:42:49 UTC",38.8093,-122.8228,1,2.2,14,"Northern California"
"325","hv","60587166","2","Tuesday, November  5, 2013 10:38:42 UTC",19.4028,-155.2838,1.8,0.8,34,"Island of Hawaii, Hawaii"
"326","ak","10837911","2","Tuesday, November  5, 2013 10:06:05 UTC",53.9238,-165.6851,2.4,74,14,"Fox Islands, Aleutian Islands, Alaska"
"327","nc","72101471","1","Tuesday, November  5, 2013 09:52:16 UTC",38.8077,-122.8138,1.2,2.7,27,"Northern California"
"328","nc","72101466","0","Tuesday, November  5, 2013 09:48:42 UTC",36.9728,-121.8342,1.4,15.1,7,"Northern California"
"329","nc","72101456","0","Tuesday, November  5, 2013 09:32:33 UTC",38.7463,-122.7008,1.1,1.7,8,"Northern California"
"330","pr","13309009","0","Tuesday, November  5, 2013 09:24:06 UTC",18.0526,-67.0501,1,23,3,"Puerto Rico"
"331","nc","72101446","0","Tuesday, November  5, 2013 09:19:24 UTC",38.8347,-122.7945,1.6,1.5,13,"Northern California"
"332","ak","10837896","2","Tuesday, November  5, 2013 09:12:52 UTC",63.3387,-145.4502,2.6,6.3,53,"Central Alaska"
"333","ak","10840921","2","Tuesday, November  5, 2013 09:09:16 UTC",63.1965,-150.7575,1.4,126,13,"Central Alaska"
"334","ak","10840920","2","Tuesday, November  5, 2013 09:08:52 UTC",63.2766,-149.639,1.2,93.5,13,"Central Alaska"
"335","ak","10840919","2","Tuesday, November  5, 2013 08:51:56 UTC",60.1316,-152.8927,1.6,108.8,16,"Southern Alaska"
"336","pr","13309008","0","Tuesday, November  5, 2013 08:46:18 UTC",17.8651,-67.1744,1.7,4,3,"Puerto Rico region"
"337","ak","10840918","2","Tuesday, November  5, 2013 08:10:53 UTC",60.1211,-153.0865,1.6,118.7,16,"Southern Alaska"
"338","ak","10840917","2","Tuesday, November  5, 2013 07:44:29 UTC",55.6857,-157.5263,2.8,39.1,12,"Alaska Peninsula"
"339","nc","72101421","0","Tuesday, November  5, 2013 07:43:26 UTC",36.5665,-121.1615,1.7,4,13,"Central California"
"340","uu","60043697","4","Tuesday, November  5, 2013 07:14:40 UTC",44.7068,-110.9968,2,10.8,23,"Yellowstone National Park, Wyoming"
"341","nn","00428410","1","Tuesday, November  5, 2013 06:52:54 UTC",36.9598,-117.7775,1,7,7,"Central California"
"342","pr","13309004","0","Tuesday, November  5, 2013 06:38:30 UTC",19.0335,-64.8629,2.5,6,3,"Virgin Islands region"
"343","pr","13309003","0","Tuesday, November  5, 2013 06:36:32 UTC",19.0932,-64.8255,2.9,29,6,"Virgin Islands region"
"344","nc","72101401","0","Tuesday, November  5, 2013 06:30:27 UTC",38.8093,-122.8213,1.1,2.3,20,"Northern California"
"345","ci","11387770","5","Tuesday, November  5, 2013 06:16:16 UTC",34.2473,-117.4773,1.6,13.3,64,"Southern California"
"346","ci","11387690","5","Tuesday, November  5, 2013 05:58:37 UTC",32.9315,-115.5307,2.1,10.4,31,"Southern California"
"347","ak","10837876","2","Tuesday, November  5, 2013 05:49:48 UTC",62.1794,-148.2531,1.8,30.3,31,"Central Alaska"
"348","ak","10840915","2","Tuesday, November  5, 2013 05:41:34 UTC",59.8582,-153.2916,2.2,118.5,21,"Southern Alaska"
"349","ak","10837866","2","Tuesday, November  5, 2013 05:41:25 UTC",61.6353,-150.9376,2.5,68.1,51,"Southern Alaska"
"350","uw","60623612","3","Tuesday, November  5, 2013 05:40:49 UTC",48.6028,-123.0808,2.3,12.5,35,"San Juan Islands region, Washington"
"351","pr","13309002","0","Tuesday, November  5, 2013 05:12:43 UTC",19.0711,-64.8277,2.6,28,5,"Virgin Islands region"
"352","pr","13309001","0","Tuesday, November  5, 2013 05:11:42 UTC",19.0533,-64.8054,3.1,41,10,"Virgin Islands region"
"353","pr","13309000","0","Tuesday, November  5, 2013 04:42:21 UTC",19.0084,-64.7246,3.1,57,9,"Virgin Islands region"
"354","nc","72102921","2","Tuesday, November  5, 2013 04:21:27 UTC",37.9537,-119.6605,1.7,0,16,"Central California"
"355","nc","72101341","1","Tuesday, November  5, 2013 04:11:05 UTC",38.8128,-122.8278,1.7,2.5,32,"Northern California"
"356","ak","10837854","2","Tuesday, November  5, 2013 04:08:06 UTC",63.4918,-150.881,1.1,16.8,17,"Central Alaska"
"357","ci","11387682","5","Tuesday, November  5, 2013 04:07:49 UTC",33.3488,-116.4077,1.3,9.7,40,"Southern California"
"358","ak","10837851","2","Tuesday, November  5, 2013 04:06:35 UTC",61.6322,-149.1318,1.7,29.7,40,"Southern Alaska"
"359","nc","72101326","0","Tuesday, November  5, 2013 03:55:50 UTC",38.8198,-122.8232,1,3.2,18,"Northern California"
"360","uw","60623552","3","Tuesday, November  5, 2013 03:36:54 UTC",47.9585,-124.1653,1.4,32.4,24,"Olympic Peninsula, Washington"
"361","ak","10837843","2","Tuesday, November  5, 2013 03:17:15 UTC",60.5957,-151.3929,1.6,20,29,"Kenai Peninsula, Alaska"
"362","nc","72101301","1","Tuesday, November  5, 2013 03:16:06 UTC",38.8392,-122.839,1.4,2.1,27,"Northern California"
"363","ci","11387674","5","Tuesday, November  5, 2013 03:13:42 UTC",34.2483,-117.475,1.7,13.8,49,"Southern California"
"364","hv","60587026","1","Tuesday, November  5, 2013 03:12:12 UTC",19.023,-155.4102,2.1,38.9,16,"Island of Hawaii, Hawaii"
"365","hv","60587021","1","Tuesday, November  5, 2013 03:09:09 UTC",19.1558,-155.3465,2.2,42.6,24,"Island of Hawaii, Hawaii"
"366","hv","60587016","1","Tuesday, November  5, 2013 03:05:33 UTC",19.1065,-155.4453,2.6,36.3,32,"Island of Hawaii, Hawaii"
"367","hv","60587006","1","Tuesday, November  5, 2013 03:03:32 UTC",19.0852,-155.4487,2.6,41.4,37,"Island of Hawaii, Hawaii"
"368","ak","10837835","2","Tuesday, November  5, 2013 03:02:35 UTC",59.3265,-152.6868,2,71.3,38,"Southern Alaska"
"369","ak","10840908","2","Tuesday, November  5, 2013 02:47:11 UTC",60.9047,-147.2434,1.4,21.8,15,"Southern Alaska"
"370","nc","72101276","0","Tuesday, November  5, 2013 02:21:57 UTC",38.7853,-122.8245,1,10.6,18,"Northern California"
"371","ci","11387666","4","Tuesday, November  5, 2013 02:21:30 UTC",33.4902,-116.762,1.3,9,48,"Southern California"
"372","ci","11387650","5","Tuesday, November  5, 2013 02:09:48 UTC",34.2472,-117.4697,1.2,13.8,25,"Southern California"
"373","nc","72101266","1","Tuesday, November  5, 2013 02:00:44 UTC",36.5667,-121.1603,2.8,3.1,43,"Central California"
"374","uw","60623542","3","Tuesday, November  5, 2013 01:56:09 UTC",46.4648,-122.4115,2.1,13.4,49,"Washington"
"375","hv","60586971","1","Tuesday, November  5, 2013 01:56:00 UTC",19.4255,-155.2825,1.9,10.9,33,"Island of Hawaii, Hawaii"
"376","nc","72101261","0","Tuesday, November  5, 2013 01:55:51 UTC",37.5407,-118.871,1,8.2,12,"Central California"
"377","uu","60043687","2","Tuesday, November  5, 2013 01:47:53 UTC",38.9587,-111.3983,1.2,3.4,7,"Utah"
"378","ci","11387626","2","Tuesday, November  5, 2013 01:30:09 UTC",35.0573,-118.3833,1.4,0,10,"Southern California"
"379","ci","11387618","4","Tuesday, November  5, 2013 01:17:44 UTC",35.0602,-118.344,1,3.9,15,"Southern California"
"380","ci","11387610","4","Tuesday, November  5, 2013 01:16:53 UTC",35.0635,-118.3455,1.1,2.9,16,"Southern California"
"381","hv","60586951","1","Tuesday, November  5, 2013 01:03:39 UTC",19.2927,-155.4103,1.8,32.8,36,"Island of Hawaii, Hawaii"
"382","ak","10840907","2","Tuesday, November  5, 2013 00:24:37 UTC",67.612,-145.7497,1.8,21.8,8,"northern Alaska"
"383","nc","72101246","1","Tuesday, November  5, 2013 00:23:09 UTC",36.5637,-121.158,2.7,3,37,"Central California"
"384","mb","29500","1","Tuesday, November  5, 2013 00:20:57 UTC",44.8326,-111.4668,1.1,10.2,6,"western Montana"
"385","ak","10837798","2","Tuesday, November  5, 2013 00:03:59 UTC",64.99,-147.3444,1,0,8,"Central Alaska"
"386","ak","10837697","1","Monday, November  4, 2013 23:22:52 UTC",61.3573,-150.0027,2,34.5,9,"Southern Alaska"
"387","ak","10837692","1","Monday, November  4, 2013 23:16:58 UTC",61.6006,-148.2757,1.8,16,13,"Southern Alaska"
"388","hv","60586931","1","Monday, November  4, 2013 22:59:43 UTC",19.2473,-155.4783,1.7,8.1,58,"Island of Hawaii, Hawaii"
"389","uu","60043662","2","Monday, November  4, 2013 22:57:22 UTC",44.6502,-110.4287,1.6,4.7,8,"Yellowstone National Park, Wyoming"
"390","ak","10837678","1","Monday, November  4, 2013 22:39:53 UTC",63.3944,-147.5288,1.8,11.4,10,"Central Alaska"
"391","ci","11387578","6","Monday, November  4, 2013 22:29:43 UTC",34.2077,-117.0138,3,7.4,125,"Southern California"
"392","ci","11387562","4","Monday, November  4, 2013 21:36:13 UTC",34.2757,-116.974,1.1,9.3,41,"Southern California"
"393","nc","72101171","2","Monday, November  4, 2013 21:28:56 UTC",41.2112,-122.1097,2,6.4,26,"Northern California"
"394","ak","10837645","1","Monday, November  4, 2013 21:25:34 UTC",62.3247,-145.0535,2.1,0,5,"Central Alaska"
"395","nc","72101156","2","Monday, November  4, 2013 21:18:13 UTC",41.213,-122.1028,1.7,6.6,12,"Northern California"
"396","nc","72101146","0","Monday, November  4, 2013 20:55:13 UTC",37.4692,-118.8443,1.3,8.7,20,"Central California"
"397","nc","72101141","0","Monday, November  4, 2013 20:54:48 UTC",37.469,-118.8447,1.3,8.5,18,"Central California"
"398","uw","60623317","1","Monday, November  4, 2013 20:06:07 UTC",49.4278,-120.4765,2.3,0,13,"British Columbia, Canada"
"399","ci","11387538","4","Monday, November  4, 2013 20:05:46 UTC",34.625,-117.1135,1.1,0,20,"Southern California"
"400","ci","11387530","4","Monday, November  4, 2013 19:34:44 UTC",35.0613,-118.351,1.1,3.4,12,"Southern California"
"401","ci","11387514","2","Monday, November  4, 2013 19:22:58 UTC",35.0317,-117.679,1.5,0,25,"Southern California"
"402","ci","11387490","5","Monday, November  4, 2013 19:12:21 UTC",32.6653,-115.7237,1.5,10.2,32,"Southern California"
"403","ak","10837588","2","Monday, November  4, 2013 19:04:15 UTC",61.6613,-150.2216,2.3,38.4,34,"Southern Alaska"
"404","ak","10837585","1","Monday, November  4, 2013 19:02:12 UTC",61.5912,-149.788,2,36.6,13,"Southern Alaska"
"405","nc","72101106","1","Monday, November  4, 2013 18:56:35 UTC",38.8117,-122.8102,1.6,2.7,30,"Northern California"
"406","uw","60623217","1","Monday, November  4, 2013 18:42:49 UTC",48.5327,-121.6567,1.1,6.7,9,"Washington"
"407","ci","11387482","5","Monday, November  4, 2013 18:25:03 UTC",35.0598,-118.3467,1.8,3.7,34,"Southern California"
"408","nc","72101081","0","Monday, November  4, 2013 18:16:20 UTC",36.8332,-121.568,1.5,3.2,18,"Central California"
"409","nc","72101076","0","Monday, November  4, 2013 17:57:54 UTC",37.5492,-118.4385,1.8,7.7,12,"Central California"
"410","nc","72101061","1","Monday, November  4, 2013 17:49:34 UTC",38.8225,-122.808,1.5,3.1,31,"Northern California"
"411","ak","10837555","2","Monday, November  4, 2013 17:44:55 UTC",62.4256,-151.422,1.9,85.8,11,"Central Alaska"
"412","ak","10837546","2","Monday, November  4, 2013 17:37:05 UTC",57.2003,-149.9448,3.3,45.6,52,"Gulf of Alaska"
"413","ak","10837542","1","Monday, November  4, 2013 17:33:35 UTC",63.354,-151.7107,1.6,2.9,8,"Central Alaska"
"414","ci","11387466","8","Monday, November  4, 2013 17:20:58 UTC",35.0588,-118.3493,2,4.4,25,"Southern California"
"415","ci","11387458","4","Monday, November  4, 2013 17:19:56 UTC",33.95,-115.9902,1.2,10.9,15,"Southern California"
"416","ci","11387450","5","Monday, November  4, 2013 17:14:14 UTC",32.91,-116.27,1.6,6.6,40,"Southern California"
"417","ci","11387442","4","Monday, November  4, 2013 17:13:06 UTC",34.0532,-117.3417,1.2,2.5,23,"Greater Los Angeles area, California"
"418","ci","11387434","4","Monday, November  4, 2013 17:05:35 UTC",32.6645,-115.7127,1.4,9.5,16,"Southern California"
"419","nc","72101036","0","Monday, November  4, 2013 16:53:33 UTC",38.7887,-122.7642,1.4,2.4,21,"Northern California"
"420","ak","10837514","1","Monday, November  4, 2013 16:31:30 UTC",60.4958,-141.5859,1.5,8.4,11,"Southern Alaska"
"421","ci","11387426","4","Monday, November  4, 2013 16:24:45 UTC",35.0572,-118.349,1.3,5,15,"Southern California"
"422","nc","72101031","4","Monday, November  4, 2013 16:10:54 UTC",37.246,-118.2137,1.5,13.6,12,"Central California"
"423","ak","10837499","2","Monday, November  4, 2013 15:37:31 UTC",59.551,-152.2617,2.8,71.5,48,"Southern Alaska"
"424","nc","72101026","4","Monday, November  4, 2013 15:29:01 UTC",40.5098,-121.6283,1.5,15,12,"Northern California"
"425","ak","10837495","1","Monday, November  4, 2013 15:09:49 UTC",60.4519,-149.6924,1.8,30.1,9,"Kenai Peninsula, Alaska"
